phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
9.972000001634e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189715694662e-01,4.220799429851e-01,0.000000000000e+00,-8.472198031058e-04,-8.472198031058e-04,-8.472198031058e-04,4.220802020167e-01,0,0,1,0,-1.095731727226e+01,0
9.976000001631e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189756780261e-01,4.218052623590e-01,0.000000000000e+00,-8.481469755850e-04,-8.481469755850e-04,-8.481469755708e-04,4.218054981582e-01,0,0,1,0,-3.539830821727e+01,0
9.980000001629e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189794180896e-01,4.215552177206e-01,0.000000000000e+00,-8.500493109551e-04,-8.500493109551e-04,-8.500493109551e-04,4.215554323710e-01,0,0,0,0,-5.968215699780e+01,0
9.984000001626e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189828227072e-01,4.213275994785e-01,0.000000000000e+00,-8.529167892988e-04,-8.529167892988e-04,-8.529167892846e-04,4.213277948771e-01,0,0,0,0,-8.362832818418e+01,0
9.988000001624e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189859219648e-01,4.211203962189e-01,0.000000000000e+00,-8.567328815730e-04,-8.567328815730e-04,-8.567328815730e-04,4.211205740922e-01,0,0,0,0,-1.070910934165e+02,0
9.992000001622e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189887432499e-01,4.209317769305e-01,0.000000000000e+00,-8.614758432515e-04,-8.614758432515e-04,-8.614758432373e-04,4.209319388504e-01,0,0,1,0,-1.299546291873e+02,0
9.996000001619e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189913114940e-01,4.207600748248e-01,0.000000000000e+00,-8.671198238375e-04,-8.671198238375e-04,-8.671198238233e-04,4.207602222222e-01,0,0,1,0,-1.521287245835e+02,0
1.000000000162e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.189936493920e-01,4.206037726070e-01,0.000000000000e+00,-8.736358116010e-04,-8.736358116010e-04,-8.736358115868e-04,4.206039067844e-01,0,0,0,1,-1.735450279963e+02,0
1.000400000161e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190144939622e-01,4.338651688370e-01,0.000000000000e+00,-8.787534574992e-04,-8.787534574992e-04,-8.787534574992e-04,4.338664063937e-01,0,1,0,1,-8.155901407143e+01,0
1.000800000161e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190341231901e-01,4.325528468455e-01,0.000000000000e+00,-8.804335398338e-04,-8.804335398338e-04,-8.804335398196e-04,4.325539734063e-01,0,1,0,1,-5.611086576603e+00,0
1.001200000161e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190519918797e-01,4.313582264561e-01,0.000000000000e+00,-8.794385980622e-04,-8.794385980622e-04,-8.794385980622e-04,4.313592519761e-01,0,0,1,1,5.265551040198e+01,0
1.001600000161e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190682579327e-01,4.302707510619e-01,0.000000000000e+00,-8.764222035325e-04,-8.764222035325e-04,-8.764222035182e-04,4.302716846034e-01,0,0,1,1,9.586620720545e+01,0
1.002000000160e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190830650891e-01,4.292808108737e-01,0.000000000000e+00,-8.719397452097e-04,-8.719397452097e-04,-8.719397452097e-04,4.292816606864e-01,0,0,0,1,1.263115301569e+02,0
1.002400000160e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.190965441965e-01,4.283796580003e-01,0.000000000000e+00,-8.664610197400e-04,-8.664610197400e-04,-8.664610197258e-04,4.283804315936e-01,0,0,0,1,1.459866487610e+02,0
1.002800000160e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191088143673e-01,4.275593291450e-01,0.000000000000e+00,-8.603813354426e-04,-8.603813354426e-04,-8.603813354284e-04,4.275600333551e-01,0,0,0,1,1.566264663877e+02,0
1.003200000160e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191199840303e-01,4.268125752359e-01,0.000000000000e+00,-8.540312746277e-04,-8.540312746277e-04,-8.540312746135e-04,4.268132162856e-01,0,0,1,1,1.597367411316e+02,0
1.003600000159e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191301518897e-01,4.261327973671e-01,0.000000000000e+00,-8.476853194566e-04,-8.476853194566e-04,-8.476853194423e-04,4.261333809214e-01,0,0,1,1,1.566216715757e+02,0
1.004000000159e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191394077968e-01,4.255139884861e-01,0.000000000000e+00,-8.415693926622e-04,-8.415693926622e-04,-8.415693926480e-04,4.255145197016e-01,0,0,0,1,1.484083356632e+02,0
1.004400000159e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191478335443e-01,4.249506803101e-01,0.000000000000e+00,-8.358675125919e-04,-8.358675125919e-04,-8.358675125919e-04,4.249511638812e-01,0,0,0,1,1.360683292650e+02,0
1.004800000159e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191555035887e-01,4.244378950045e-01,0.000000000000e+00,-8.307276192880e-04,-8.307276192880e-04,-8.307276192738e-04,4.244383352042e-01,0,0,0,1,1.204369137897e+02,0
1.005200000159e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191624857088e-01,4.239711011943e-01,0.000000000000e+00,-8.262666859338e-04,-8.262666859338e-04,-8.262666859338e-04,4.239715019128e-01,0,0,1,0,1.022299488699e+02,0
1.005600000158e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191688416042e-01,4.235461739220e-01,0.000000000000e+00,-8.225751808340e-04,-8.225751808340e-04,-8.225751808197e-04,4.235465387001e-01,0,0,1,0,8.205885637418e+01,0
1.006000000158e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191746274407e-01,4.231593581953e-01,0.000000000000e+00,-8.197209856746e-04,-8.197209856746e-04,-8.197209856604e-04,4.231596902567e-01,0,0,0,0,6.044383534998e+01,0
1.006400000158e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191798943468e-01,4.228072358060e-01,0.000000000000e+00,-8.177527991222e-04,-8.177527991222e-04,-8.177527991080e-04,4.228075380849e-01,0,0,0,0,3.782552369203e+01,0
1.006800000158e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191846888649e-01,4.224866951232e-01,0.000000000000e+00,-8.167031132871e-04,-8.167031132871e-04,-8.167031132729e-04,4.224869702909e-01,0,0,0,0,1.457528105164e+01,0
1.007200000157e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191890533635e-01,4.221949035972e-01,0.000000000000e+00,-8.165907968021e-04,-8.165907968021e-04,-8.165907967879e-04,4.221951540852e-01,0,0,1,0,-8.995751521579e+00,0
1.007600000157e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191930264108e-01,4.219292827283e-01,0.000000000000e+00,-8.174233428377e-04,-8.174233428377e-04,-8.174233428377e-04,4.219295107501e-01,0,0,1,0,-3.262867670577e+01,0
1.008000000157e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191966431158e-01,4.216874852812e-01,0.000000000000e+00,-8.191988144404e-04,-8.191988144404e-04,-8.191988144262e-04,4.216876928518e-01,0,0,0,0,-5.610982746762e+01,0
1.008400000157e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.191999354388e-01,4.214673745434e-01,0.000000000000e+00,-8.219075290157e-04,-8.219075290157e-04,-8.219075290157e-04,4.214675634971e-01,0,0,0,0,-7.926460528664e+01,0
1.008800000156e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192029324734e-01,4.212670054431e-01,0.000000000000e+00,-8.255335106213e-04,-8.255335106213e-04,-8.255335106071e-04,4.212671774497e-01,0,0,0,0,-1.019520723643e+02,0
1.009200000156e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192056607040e-01,4.210846073613e-01,0.000000000000e+00,-8.300557359320e-04,-8.300557359320e-04,-8.300557359320e-04,4.210847639406e-01,0,0,1,0,-1.240602109346e+02,0
1.009600000156e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192081442395e-01,4.209185684848e-01,0.000000000000e+00,-8.354492120048e-04,-8.354492120048e-04,-8.354492119764e-04,4.209187110206e-01,0,0,1,0,-1.455017724316e+02,0
1.010000000156e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192104050264e-01,4.207674215635e-01,0.000000000000e+00,-8.416858897107e-04,-8.416858897107e-04,-8.416858896965e-04,4.207675513153e-01,0,0,0,1,-1.662106478600e+02,0
1.010400000155e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192305480627e-01,4.335761199185e-01,0.000000000000e+00,-8.465711613184e-04,-8.465711613184e-04,-8.465711613042e-04,4.335773153832e-01,0,1,0,1,-7.734398221040e+01,0
1.010800000155e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192495096586e-01,4.323084327704e-01,0.000000000000e+00,-8.481371555717e-04,-8.481371555717e-04,-8.481371555575e-04,4.323095210145e-01,0,1,0,1,-4.013451107933e+00,0
1.011200000155e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192667705958e-01,4.311544439443e-01,0.000000000000e+00,-8.471204131411e-04,-8.471204131411e-04,-8.471204131411e-04,4.311554345842e-01,0,0,1,1,5.224040435923e+01,0
1.011600000155e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192824834055e-01,4.301039558857e-01,0.000000000000e+00,-8.441521483462e-04,-8.441521483462e-04,-8.441521483462e-04,4.301048576756e-01,0,0,1,1,9.395340482299e+01,0
1.012000000154e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.192967869387e-01,4.291476856547e-01,0.000000000000e+00,-8.397687489747e-04,-8.397687489747e-04,-8.397687489747e-04,4.291485065634e-01,0,0,0,1,1.233378876542e+02,0
1.012400000154e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193098075927e-01,4.282771828943e-01,0.000000000000e+00,-8.344239331564e-04,-8.344239331564e-04,-8.344239331564e-04,4.282779301760e-01,0,0,0,1,1.423209062105e+02,0
1.012800000154e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193216604285e-01,4.274847551563e-01,0.000000000000e+00,-8.284994682128e-04,-8.284994682128e-04,-8.284994682128e-04,4.274854354147e-01,0,0,0,1,1.525781244210e+02,0
1.013200000154e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193324501872e-01,4.267633999250e-01,0.000000000000e+00,-8.223146160447e-04,-8.223146160447e-04,-8.223146160304e-04,4.267640191713e-01,0,0,1,1,1.555638768171e+02,0
1.013600000153e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193422722158e-01,4.261067427376e-01,0.000000000000e+00,-8.161344397166e-04,-8.161344397166e-04,-8.161344397166e-04,4.261073064439e-01,0,0,1,1,1.525378139251e+02,0
1.014000000153e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193512133094e-01,4.255089808537e-01,0.000000000000e+00,-8.101771128963e-04,-8.101771128963e-04,-8.101771128821e-04,4.255094940015e-01,0,0,0,1,1.445885080034e+02,0
1.014400000153e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193593524789e-01,4.249648319786e-01,0.000000000000e+00,-8.046203333265e-04,-8.046203333265e-04,-8.046203333265e-04,4.249652991024e-01,0,0,0,1,1.326543539035e+02,0
1.014800000153e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193667616484e-01,4.244694875843e-01,0.000000000000e+00,-7.996069535636e-04,-7.996069535636e-04,-7.996069535494e-04,4.244699128119e-01,0,0,0,1,1.175420638611e+02,0
1.015200000152e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193735062913e-01,4.240185704175e-01,0.000000000000e+00,-7.952499155550e-04,-7.952499155550e-04,-7.952499155550e-04,4.240189575067e-01,0,0,1,0,9.994302284975e+01,0
1.015600000152e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193796460088e-01,4.236080958191e-01,0.000000000000e+00,-7.916365697298e-04,-7.916365697298e-04,-7.916365697298e-04,4.236084481904e-01,0,0,1,0,8.044774235109e+01,0
1.016000000152e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193852350563e-01,4.232344365121e-01,0.000000000000e+00,-7.888324442433e-04,-7.888324442433e-04,-7.888324442433e-04,4.232347572794e-01,0,0,0,0,5.955862466978e+01,0
1.016400000152e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193903228232e-01,4.228942905488e-01,0.000000000000e+00,-7.868845461871e-04,-7.868845461871e-04,-7.868845461729e-04,4.228945825466e-01,0,0,0,0,3.770122691799e+01,0
1.016800000151e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193949542692e-01,4.225846521316e-01,0.000000000000e+00,-7.858242269378e-04,-7.858242269378e-04,-7.858242269378e-04,4.225849179402e-01,0,0,0,0,1.523419323037e+01,0
1.017200000151e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.193991703215e-01,4.223027850515e-01,0.000000000000e+00,-7.856696837223e-04,-7.856696837223e-04,-7.856696837081e-04,4.223030270198e-01,0,0,1,0,-7.541994588911e+00,0
1.017600000151e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194030082365e-01,4.220461985090e-01,0.000000000000e+00,-7.864281272134e-04,-7.864281272134e-04,-7.864281272134e-04,4.220464187754e-01,0,0,1,0,-3.037731420920e+01,0
1.018000000151e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194065019292e-01,4.218126251036e-01,0.000000000000e+00,-7.880976615411e-04,-7.880976615411e-04,-7.880976615269e-04,4.218128256143e-01,0,0,0,0,-5.306542857859e+01,0
1.018400000150e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194096822729e-01,4.216000007966e-01,0.000000000000e+00,-7.906689108950e-04,-7.906689108950e-04,-7.906689108950e-04,4.216001833236e-01,0,0,0,0,-7.543773435783e+01,0
1.018800000150e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194125773715e-01,4.214064466723e-01,0.000000000000e+00,-7.941264208426e-04,-7.941264208426e-04,-7.941264208284e-04,4.214066128286e-01,0,0,0,0,-9.735813863145e+01,0
1.019200000150e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194152128087e-01,4.212302523342e-01,0.000000000000e+00,-7.984498673466e-04,-7.984498673466e-04,-7.984498673466e-04,4.212304035879e-01,0,0,1,0,-1.187184799808e+02,0
1.019600000150e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194176118734e-01,4.210698607903e-01,0.000000000000e+00,-8.036150894384e-04,-8.036150894384e-04,-8.036150894242e-04,4.210699984781e-01,0,0,1,0,-1.394345192970e+02,0
1.020000000150e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194197957657e-01,4.209238546946e-01,0.000000000000e+00,-8.095949761753e-04,-8.095949761753e-04,-8.095949761611e-04,4.209239800334e-01,0,0,0,1,-1.594424340291e+02,0
1.020400000149e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194390262823e-01,4.331274288073e-01,0.000000000000e+00,-8.142957205592e-04,-8.142957205592e-04,-8.142957205450e-04,4.331285695080e-01,0,1,0,1,-7.497197359235e+01,0
1.020800000149e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194571192490e-01,4.319178142686e-01,0.000000000000e+00,-8.158439948147e-04,-8.158439948147e-04,-8.158439948147e-04,4.319188526603e-01,0,1,0,1,-5.353612764256e+00,0
1.021200000149e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194735894638e-01,4.308166895440e-01,0.000000000000e+00,-8.149412773548e-04,-8.149412773548e-04,-8.149412773406e-04,4.308176348028e-01,0,0,1,1,4.800410608263e+01,0
1.021600000149e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.194885824708e-01,4.298143242282e-01,0.000000000000e+00,-8.121885827421e-04,-8.121885827421e-04,-8.121885827421e-04,4.298151847071e-01,0,0,1,1,8.751760967883e+01,0
1.022000000148e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195022307600e-01,4.289018606315e-01,0.000000000000e+00,-8.080965654074e-04,-8.080965654074e-04,-8.080965653932e-04,4.289026439344e-01,0,0,0,1,1.152949689841e+02,0
1.022400000148e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195146549386e-01,4.280712355068e-01,0.000000000000e+00,-8.030971069815e-04,-8.030971069815e-04,-8.030971069815e-04,4.280719485557e-01,0,0,0,1,1.331723190018e+02,0
1.022800000148e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195259647967e-01,4.273151087964e-01,0.000000000000e+00,-7.975535369837e-04,-7.975535369837e-04,-7.975535369837e-04,4.273157578922e-01,0,0,0,1,1.427461739505e+02,0
1.023200000148e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195362602770e-01,4.266267987690e-01,0.000000000000e+00,-7.917696298705e-04,-7.917696298705e-04,-7.917696298563e-04,4.266273896476e-01,0,0,1,1,1.454020860962e+02,0
1.023600000147e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195456323588e-01,4.260002229749e-01,0.000000000000e+00,-7.859975332281e-04,-7.859975332281e-04,-7.859975332138e-04,4.260007608579e-01,0,0,1,1,1.423400486785e+02,0
1.024000000147e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195541638613e-01,4.254298444971e-01,0.000000000000e+00,-7.804447215563e-04,-7.804447215563e-04,-7.804447215420e-04,4.254303341376e-01,0,0,0,1,1.345970005221e+02,0
1.024400000147e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195619301756e-01,4.249106230219e-01,0.000000000000e+00,-7.752801177645e-04,-7.752801177645e-04,-7.752801177503e-04,4.249110687468e-01,0,0,0,1,1.230667515663e+02,0
1.024800000147e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195689999312e-01,4.244379702996e-01,0.000000000000e+00,-7.706394548563e-04,-7.706394548563e-04,-7.706394548563e-04,4.244383760476e-01,0,0,0,1,1.085176142560e+02,0
1.025200000146e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195754356021e-01,4.240077095984e-01,0.000000000000e+00,-7.666299819533e-04,-7.666299819533e-04,-7.666299819391e-04,4.240080789550e-01,0,0,1,0,9.160799504868e+01,0
1.025600000146e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195812940591e-01,4.236160387958e-01,0.000000000000e+00,-7.633345767459e-04,-7.633345767459e-04,-7.633345767459e-04,4.236163750250e-01,0,0,1,0,7.290017284740e+01,0
1.026000000146e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195866270723e-01,4.232594967803e-01,0.000000000000e+00,-7.608153408398e-04,-7.608153408398e-04,-7.608153408256e-04,4.232598028533e-01,0,0,0,0,5.287246663437e+01,0
1.026400000146e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195914817685e-01,4.229349328658e-01,0.000000000000e+00,-7.591167430547e-04,-7.591167430547e-04,-7.591167430405e-04,4.229352114872e-01,0,0,0,0,3.192997264652e+01,0
1.026800000145e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195959010478e-01,4.226394789500e-01,0.000000000000e+00,-7.582683518166e-04,-7.582683518166e-04,-7.582683518024e-04,4.226397325820e-01,0,0,0,0,1.041403182470e+01,0
1.027200000145e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.195999239625e-01,4.223705241694e-01,0.000000000000e+00,-7.582872159304e-04,-7.582872159304e-04,-7.582872159162e-04,4.223707550532e-01,0,0,1,0,-1.138942924284e+01,0
1.027600000145e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196035860624e-01,4.221256918278e-01,0.000000000000e+00,-7.591799316771e-04,-7.591799316771e-04,-7.591799316629e-04,4.221259020038e-01,0,0,1,0,-3.324255632381e+01,0
1.028000000145e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196069197088e-01,4.219028183939e-01,0.000000000000e+00,-7.609444326278e-04,-7.609444326278e-04,-7.609444326278e-04,4.219030097193e-01,0,0,0,0,-5.494911089973e+01,0
1.028400000144e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196099543605e-01,4.216999343826e-01,0.000000000000e+00,-7.635715400198e-04,-7.635715400198e-04,-7.635715400056e-04,4.217001085481e-01,0,0,0,0,-7.634879777769e+01,0
1.028800000144e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196127168344e-01,4.215152469510e-01,0.000000000000e+00,-7.670462970992e-04,-7.670462970992e-04,-7.670462970992e-04,4.215154054956e-01,0,0,0,0,-9.731228699236e+01,0
1.029200000144e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196152315418e-01,4.213471240556e-01,0.000000000000e+00,-7.713491205124e-04,-7.713491205124e-04,-7.713491204981e-04,4.213472683804e-01,0,0,1,0,-1.177368499830e+02,0
1.029600000144e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196175207049e-01,4.211940800301e-01,0.000000000000e+00,-7.764567837398e-04,-7.764567837398e-04,-7.764567837398e-04,4.211942114105e-01,0,0,1,0,-1.375425389055e+02,0
1.030000000143e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196196045527e-01,4.210547624571e-01,0.000000000000e+00,-7.823432629976e-04,-7.823432629976e-04,-7.823432629692e-04,4.210548820541e-01,0,0,0,1,-1.566688458464e+02,0
1.030400000143e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196383224190e-01,4.329595431548e-01,0.000000000000e+00,-7.869659183370e-04,-7.869659183370e-04,-7.869659183228e-04,4.329606532570e-01,0,1,0,1,-7.388528823617e+01,0
1.030800000143e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196559300543e-01,4.317823756636e-01,0.000000000000e+00,-7.884993625851e-04,-7.884993625851e-04,-7.884993625709e-04,4.317833862012e-01,0,1,0,1,-5.628969317883e+00,0
1.031200000143e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196719584670e-01,4.307107878246e-01,0.000000000000e+00,-7.876283261794e-04,-7.876283261794e-04,-7.876283261652e-04,4.307117077275e-01,0,0,1,1,4.675454782260e+01,0
1.031600000142e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196865492968e-01,4.297353102436e-01,0.000000000000e+00,-7.849395427399e-04,-7.849395427399e-04,-7.849395427257e-04,4.297361476408e-01,0,0,1,1,8.562149436160e+01,0
1.032000000142e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.196998314800e-01,4.288473228322e-01,0.000000000000e+00,-7.809316327041e-04,-7.809316327041e-04,-7.809316327041e-04,4.288480851236e-01,0,0,0,1,1.130275749354e+02,0
1.032400000142e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197119223885e-01,4.280389786342e-01,0.000000000000e+00,-7.760263953003e-04,-7.760263953003e-04,-7.760263953003e-04,4.280396725560e-01,0,0,0,1,1.307634528124e+02,0
1.032800000142e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197229288673e-01,4.273031344835e-01,0.000000000000e+00,-7.705787766952e-04,-7.705787766952e-04,-7.705787766952e-04,4.273037661677e-01,0,0,0,1,1.403862364815e+02,0
1.033200000141e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197329481783e-01,4.266332878816e-01,0.000000000000e+00,-7.648856330178e-04,-7.648856330178e-04,-7.648856330178e-04,4.266338629104e-01,0,0,1,1,1.432474043180e+02,0
1.033600000141e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197420688603e-01,4.260235195363e-01,0.000000000000e+00,-7.591934600981e-04,-7.591934600981e-04,-7.591934600839e-04,4.260240429910e-01,0,0,1,1,1.405175573808e+02,0
1.034000000141e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197503715109e-01,4.254684410542e-01,0.000000000000e+00,-7.537051740769e-04,-7.537051740769e-04,-7.537051740769e-04,4.254689175605e-01,0,0,0,1,1.332083486384e+02,0
1.034400000141e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197579294990e-01,4.249631473247e-01,0.000000000000e+00,-7.485860759004e-04,-7.485860759004e-04,-7.485860758862e-04,4.249635810933e-01,0,0,0,1,1.221918995951e+02,0
1.034800000141e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197648096130e-01,4.245031731744e-01,0.000000000000e+00,-7.439690823361e-04,-7.439690823361e-04,-7.439690823361e-04,4.245035680385e-01,0,0,0,1,1.082179818714e+02,0
1.035200000140e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197710726513e-01,4.240844539095e-01,0.000000000000e+00,-7.399593092998e-04,-7.399593092998e-04,-7.399593092856e-04,4.240848133584e-01,0,0,1,0,9.192921140172e+01,0
1.035600000140e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.197767739590e-01,4.237032893967e-01,0.000000000000e+00,-7.366380834526e-04,-7.366380834526e-04,-7.366380834526e-04,4.237036166068e-01,0,0,1,0,7.387447619459e+01,0
