phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
9.199999999994e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.937498906413e-01,0.000000000000e+00,0.000000000000e+00,-2.769137935260e-02,-2.769137935260e-02,-2.769137935260e-02,0.000000000000e+00,0,0,1,0,-3.523377406719e+04,0
9.599999999996e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.934808417121e-01,0.000000000000e+00,0.000000000000e+00,-2.910413349740e-02,-2.910413349740e-02,-2.910413349740e-02,0.000000000000e+00,0,0,0,0,-3.540117073594e+04,0
9.999999999998e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.932121650822e-01,0.000000000000e+00,0.000000000000e+00,-3.052325801877e-02,-3.052325801877e-02,-3.052325801877e-02,0.000000000000e+00,0,0,1,0,-3.555255710329e+04,0
1.040000000000e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.933666067814e-01,5.161278187578e-01,0.000000000000e+00,-3.191311182690e-02,-3.191311182690e-02,-3.191311182690e-02,5.161547155260e-01,0,1,0,1,-3.311490756262e+04,0
1.080000000000e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.937932241422e-01,4.876061195294e-01,0.000000000000e+00,-3.315955557626e-02,-3.315955557626e-02,-3.315955557626e-02,4.876306039379e-01,0,1,0,1,-2.931161261233e+04,0
1.120000000000e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.941815783720e-01,4.616425194207e-01,0.000000000000e+00,-3.426594024922e-02,-3.426594024922e-02,-3.426594024922e-02,4.616648078330e-01,0,1,1,1,-2.609848623440e+04,0
1.160000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.945351012748e-01,4.380075836054e-01,0.000000000000e+00,-3.525430552728e-02,-3.525430552728e-02,-3.525430552728e-02,4.380278729795e-01,0,0,0,1,-2.339877634316e+04,0
1.200000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.948569168577e-01,4.164924551696e-01,0.000000000000e+00,-3.614380787405e-02,-3.614380787405e-02,-3.614380787405e-02,4.165109247983e-01,0,0,0,1,-2.114489293977e+04,0
1.240000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.951498689366e-01,3.969070094875e-01,0.000000000000e+00,-3.695106582892e-02,-3.695106582892e-02,-3.695106582892e-02,3.969238225830e-01,0,0,1,1,-1.927736847258e+04,0
1.280000000001e-08,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.954165462671e-01,3.790781741305e-01,0.000000000000e+00,-3.769046603943e-02,-3.769046603943e-02,-3.769046603943e-02,3.790934792666e-01,0,0,1,1,-1.774393228243e+04,0
